distance_category,tissues2,mean,median,std,count,ci
0-150,0,0.07137949,0.039108597,0.09896321,4171,0.0030033763384503718
0-150,brain,0.043618426,0.026837476,0.05239287,5253,0.001416852249761274
0-150,others,0.047914546,0.0326145,0.04977593,6378,0.001221611739714603
150-300,0,,,,0,
150-300,brain,0.112485476,0.085913286,0.09619185,2453,0.0038066731669808436
150-300,others,0.07311364,0.052565295,0.06589054,7187,0.0015233698839658583
300-450,0,,,,0,
300-450,brain,0.11332949,0.09007764,0.08732605,1152,0.005042822131064552
300-450,others,0.06299718,0.044874765,0.061288513,6276,0.0015163298886307118
450-600,0,,,,0,
450-600,brain,0.10644172,0.0857342,0.085065775,548,0.007122306849255117
450-600,others,0.05483605,0.03977778,0.05144005,5099,0.001411935831972853
600-750,0,,,,0,
600-750,brain,0.09852546,0.07557622,0.08394653,248,0.010447996253572556
600-750,others,0.05137705,0.03525765,0.052180015,3994,0.0016182896147387443
750-1000,0,,,,0,
750-1000,brain,0.10682601,0.079474345,0.08717221,195,0.012235362130484298
750-1000,others,0.045061134,0.031165466,0.045644842,4997,0.0012655901941602777
1000-1250,0,,,,0,
1000-1250,brain,0.114212826,0.087332964,0.081262186,86,0.01717494554239303
1000-1250,others,0.041175365,0.028598761,0.039426923,3459,0.001313934455334058
>1250,0,,,,0,
>1250,brain,0.11337679,0.09175467,0.09495116,61,0.023828211703766602
>1250,others,0.039269794,0.028128928,0.03618074,6349,0.0008899811881928381
