gene_name,pathway
Sh2b3,CD3pathway
Chuk,CD3pathway
Akt1,CD3pathway
Grap2,CD3pathway
Creb1,CD3pathway
Pik3r1,CD3pathway
Nfkb1,CD3pathway
Plcg2,CD3pathway
Ighg1,CD3pathway
Hck,CD3pathway
Cblb,CD3pathway
Grb2,CD3pathway
Prkcq,CD3pathway
Fyn,CD3pathway
Pdpk1,CD3pathway
Zap70,CD3pathway
Card11,CD3pathway
Malt1,CD3pathway
Cd8b1,CD3pathway
Cd247,CD3pathway
Lat,CD3pathway
Lck,CD3pathway
Fgr,CD3pathway
Cd3d,CD3pathway
Rela,CD3pathway
Itpr1,CD3pathway
Vav1,CD3pathway
Ighg3,CD3pathway
Plcg1,CD3pathway
Cd3e,CD3pathway
Itpr2,CD3pathway
Cd8a,CD3pathway
Cd4,CD3pathway
Map3k14,CD3pathway
Lyn,CD3pathway
Lcp2,CD3pathway
Itpr3,CD3pathway
Map4k1,CD3pathway
Ikbkb,CD3pathway
Iglc1,CD3pathway
Iglc3,CD3pathway
Prkcd,CD3pathway
Iglc2,CD3pathway
Rel,CD3pathway
Nfkbia,CD3pathway
Syk,CD3pathway
Ighg2c,CD3pathway
Igkc,CD3pathway
Ccl3,MacrophagePathway
Ccr4,MacrophagePathway
Il1rl1,MacrophagePathway
Mapk13,MacrophagePathway
Map2k6,MacrophagePathway
Bmp3,MacrophagePathway
Il1rl2,MacrophagePathway
Ngf,MacrophagePathway
Casp12,MacrophagePathway
Bmp6,MacrophagePathway
Tab3,MacrophagePathway
Il1rap,MacrophagePathway
Tirap,MacrophagePathway
Bmp4,MacrophagePathway
Casp1,MacrophagePathway
S100a1,MacrophagePathway
C4a,BcellPathway
Camk2a,BcellPathway
Prdm1,BcellPathway
Trpc1,BcellPathway
Map2k6,BcellPathway
Aicda,BcellPathway
Fcrl5,BcellPathway
Pip5k1b,BcellPathway
Inppl1,BcellPathway
Ezh2,BcellPathway
Cd82,BcellPathway
Sell,BcellPathway
Ms4a1,BcellPathway
Itgb2,BcellPathway
Tmsb10,BcellPathway
Braf,BcellPathway
C730036E19Rik,randomchose
Lrmda,randomchose
Cacng4,randomchose
Klhl11,randomchose
Gata5,randomchose
Nrtn,randomchose
Kcnk7,randomchose
2900009J06Rik,randomchose
Gm15991,randomchose
Rasgef1c,randomchose
Wnk4,randomchose
Pigz,randomchose
Mei4,randomchose
Slc7a3,randomchose
Gm42918,randomchose
Gdf9,randomchose
